split,baseline,BLEU,ROUGE-L,METEOR,exact_match_diagnostic
dev,Random option,0.30181686389901435,0.3969405620811371,0.3454353615901907,0.25700838960507466
dev,Majority option (C),0.32536298933928903,0.40663180547524463,0.3568516446963787,0.26703499079189685
dev,Highest article-option overlap,0.3608415030713496,0.44883261904505906,0.405019204399117,0.3192142418661756
dev,Highest question-option overlap,0.27270146123029027,0.3766719629422803,0.323876179549269,0.2283609576427256
test,Random option,0.29339761736085734,0.39293583833796614,0.33892256850607133,0.25496554519659503
test,Majority option (C),0.32304143772424826,0.4032733383414864,0.3525820113500683,0.26854479124442643
test,Highest article-option overlap,0.3732561640191233,0.4513717921937274,0.4065291894212703,0.32448317794892584
test,Highest question-option overlap,0.28564243456470645,0.37890124914424606,0.32487602860729786,0.23408998783948115
