model,split,feature_mode,candidate_accuracy,candidate_precision,candidate_recall,candidate_f1,precision_at_3,recall_at_3,f1_at_3,exact_set_match,mean_reciprocal_rank,evaluated_questions,confusion_matrix
Logistic Regression,dev,full,0.9998767752071717,0.9994666666666666,1.0,0.9997332622032542,0.9994666666666668,1.0,0.9996799999999999,1.0,1.0,2500,"[[24961, 4], [0, 7496]]"
Logistic Regression,test,full,0.9999692175090809,0.9998666133119914,1.0,0.9999333022076969,0.9998666133119914,1.0,0.999919967987195,1.0,1.0,2499,"[[24989, 1], [0, 7496]]"
Random Forest,dev,structured,0.9998767752071717,0.9994666666666666,1.0,0.9997332622032542,0.9994666666666668,1.0,0.9996799999999999,1.0,1.0,2500,"[[24961, 4], [0, 7496]]"
Random Forest,test,structured,0.9999692175090809,0.9998666133119914,1.0,0.9999333022076969,0.9998666133119914,1.0,0.999919967987195,1.0,1.0,2499,"[[24989, 1], [0, 7496]]"
