split,mode,evaluated_questions,full_three_distractor_questions,generated_distractors,mean_generated_per_question,BLEU,ROUGE-L,METEOR,exact_text_match
dev,option_pool,500,500,1500,3.0,0.8687594154474189,0.9672261571761572,0.8476792766541221,0.9646666666666667
dev,passage_grounded,500,494,1491,2.982,0.01420062002443345,0.09545724839032674,0.06742882078358561,0.019450033534540577
test,option_pool,500,500,1500,3.0,0.8998334088611334,0.9769719243719243,0.8729263317173208,0.976
test,passage_grounded,500,492,1488,2.976,0.014852195275007118,0.07374459936597907,0.05370830772802285,0.008064516129032258
