cluster_id,count,dominant_question_type,question_type_purity,top_terms,question_type_distribution,answer_type_distribution
0,1951,cloze,0.6392,"mainly, passage mainly, mainly answer, passage, question passage, what passage, fact, fact question, what, question what","{""cloze"": 1247, ""what"": 653, ""other"": 37, ""who"": 13, ""which"": 1}","{""fact"": 1918, ""place"": 15, ""named_entity"": 11, ""person_or_named_entity"": 6, ""number"": 1}"
1,49123,cloze,0.6007,"fact, fact question, what, question what, passage, people, author, when, passage answer, according","{""cloze"": 29508, ""what"": 9121, ""other"": 3579, ""why"": 2704, ""how_many"": 1123, ""which"": 1082, ""who"": 825, ""where"": 716, ""when"": 465}","{""fact"": 44140, ""named_entity"": 1808, ""number"": 1485, ""person_or_named_entity"": 794, ""place"": 755, ""date"": 141}"
2,6031,which,0.8824,"which, which following, following, question which, true, following true, true answer, according, true according, according passage","{""which"": 5322, ""other"": 553, ""cloze"": 151, ""what"": 3, ""when"": 2}","{""fact"": 5649, ""named_entity"": 245, ""person_or_named_entity"": 106, ""place"": 25, ""number"": 4, ""date"": 2}"
3,2868,what,0.4833,"title, best title, best, title passage, passage answer, what best, passage, what, question what, question best","{""what"": 1386, ""which"": 884, ""cloze"": 565, ""other"": 33}","{""fact"": 2388, ""person_or_named_entity"": 450, ""place"": 17, ""named_entity"": 13}"
